Headline,Link,Date,"Categories (comma separated)","Locations (; separated)","Lat/Lon pairs (; separated)"
"Vermonters support, and follow, Covid-19 shutdown measures, research finds - vtdigger.org",http://healthmap.org/ln.php?7321187,"2020-05-10 18:07:58","Lockdown / Shelter in Place",Vermont,"44.040199,-72.751503"
"VDH COVID-19 Update: 927 total cases, no new deaths and the path to restart Vermont - Vermont Biz",http://healthmap.org/ln.php?7321342,"2020-05-10 15:48:46","Business Reopening",Vermont,"44.040199,-72.751503"
"How Florida’s lax oversight of elder care homes undermines its COVID-19 response - Tampa Bay Times",http://healthmap.org/ln.php?7321621,"2020-05-09 18:03:00","Elder Care",Florida,"28.149500,-81.650398"
"Coordinating or going rogue on COVID-19: How is your state responding? - nwitimes.com",http://healthmap.org/ln.php?7321915,"2020-05-09 11:30:00","Business Reopening","Illinois; Indiana; Kentucky; Michigan; Ohio; Wisconsin; Minnesota","40.010700,-89.252998; 40.010700,-86.264702; 37.439899,-84.462898; 43.580299,-84.462898; 40.245899,-83.012703; 44.496498,-90.000000; 46.225399,-94.658302"
"Elder care facilities want COVID-19 tests, so state issues order that says: let us in - Tampa Bay Times",http://healthmap.org/ln.php?7321921,"2020-05-10 18:52:00","Elder Care",Florida,"28.149500,-81.650398"
"COVID-19: Stay home? Shop? Still wary? Seniors' reactions vary as Florida reopens in Phase 1 - Florida Today",http://healthmap.org/ln.php?7322301,"2020-05-11 06:50:37","Business Reopening",Florida,"28.149500,-81.650398"
"Cuomo demands twice weekly care home Covid-19 tests - BBC News",http://healthmap.org/ln.php?7322304,"2020-05-11 07:19:19","Elder Care","New York State","43.004601,-75.498100"
"Cuomo Reverses Nursing Home Directive to Take COVID-19 Patients, Requires More Staff Testing &#8211; NBC New York",http://healthmap.org/ln.php?7322305,"2020-05-11 07:19:51","Elder Care","New York State","43.004601,-75.498100"
"Covid-19: nursing homes account for 'staggering' share of US deaths, data show | US news | The Guardian",http://healthmap.org/ln.php?7322306,"2020-05-11 07:20:16","Elder Care","United States","39.966930,-97.556099"
"7 O.C. nursing homes and 2 care facilities report coronavirus deaths &#8211; Orange County Register",http://healthmap.org/ln.php?7322307,"2020-05-11 07:20:39","Elder Care","Orange County, California","33.700020,-117.767555"
"Pa. National Guard to help Beaver County nursing home with covid-19 outbreak | TribLIVE.com",http://healthmap.org/ln.php?7322308,"2020-05-11 07:21:12","Elder Care","Beaver County, Pennsylvania","40.750340,-80.500069"
"Employee at Columbia nursing home tests positive for COVID-19 - ABC17NEWS",http://healthmap.org/ln.php?7322309,"2020-05-11 07:22:29","Elder Care","Columbia, Missouri","38.951706,-92.334068"
"Pa. had an early plan to protect nursing home residents from COVID-19, but never fully implemented it | Pittsburgh Post-Gazette",http://healthmap.org/ln.php?7322310,"2020-05-11 07:23:23","Elder Care",Pennsylvania,"40.930099,-77.475601"
"Coronavirus has killed more than 5% of NY nursing-home residents",http://healthmap.org/ln.php?7322311,"2020-05-11 07:23:53","Elder Care","New York State","43.004601,-75.498100"
"‘The Whole Place Is Sick Now’: 72 Deaths at a Home for U.S. Veterans",http://healthmap.org/ln.php?7322312,"2020-05-11 07:24:19","Elder Care","New Jersey","40.178799,-74.355499"
"Hit Hard by Covid, Nursing Home Workers Threatened to Strike—and Won | The Nation",http://healthmap.org/ln.php?7322313,"2020-05-11 07:25:28","Healthcare Worker, Elder Care",Illinois,"40.010700,-89.252998"
"Coronavirus deaths at Onondaga County nursing homes now stand at 24 - syracuse.com",http://healthmap.org/ln.php?7322314,"2020-05-11 07:26:20","Elder Care","Onondaga County, New York","43.000622,-76.166313"
"Number of L.A. County&#8217;s coronavirus cases climbs past 31,600 as nursing homes remain among the hardest hit | KTLA",http://healthmap.org/ln.php?7322315,"2020-05-11 07:26:55","Elder Care","Los Angeles County, California","34.366665,-118.200905"
"Coronavirus outbreak causes Tyson Foods to close NC plant for cleaning",http://healthmap.org/ln.php?7322323,"2020-05-11 07:33:28","COVID-19 Case Clusters","Wilkesboro, North Carolina","36.145962,-81.160637"
"Workers in Iowa meat industry fear returning to processing plants | Coronavirus pandemic News | Al Jazeera",http://healthmap.org/ln.php?7322337,"2020-05-11 07:36:02","COVID-19 Case Clusters","Tama, Iowa; West Liberty, Iowa; Waterloo, Iowa; Columbus Junction, Iowa; Perry, Iowa; Estherville, Iowa","41.966660,-92.576859; 41.570019,-91.263771; 42.492760,-92.342957; 41.280029,-91.360710; 41.834038,-94.107834; 43.402336,-94.847420"
"Texas meatpacking plant remains open amid COVID-19 outbreak at the facility",http://healthmap.org/ln.php?7322348,"2020-05-11 07:38:26","COVID-19 Case Clusters","Angelina County, Texas; Lufkin, Texas","31.250744,-94.566872; 31.338240,-94.729103"
"At least 2 Waco meat processing plant workers test positive for COVID-19, though no concentration reported | Local News | wacotrib.com",http://healthmap.org/ln.php?7322349,"2020-05-11 07:40:26","COVID-19 Case Clusters","Waco, Texas","31.549330,-97.146667"
"'I'm scared to return': Nebraska meatpacking workers and their families speak out | State &amp; Regional | omaha.com",http://healthmap.org/ln.php?7322350,"2020-05-11 07:41:05","COVID-19 Case Clusters","Crete, Nebraska","40.627781,-96.961418"
"Coronavirus live updates: Mike Pence won't self-isolate; National Park Service preps for 'new normal;' US deaths near 80K - USA TODAY",http://healthmap.org/ln.php?7322436,"2020-05-11 05:50:59","Business Reopening","Alabama; Arizona; South Carolina","32.731800,-86.748100; 34.500198,-111.500298; 33.687698,-80.595802"
"Coronavirus updates: What you need to know Monday - Democrat & Chronicle",http://healthmap.org/ln.php?7322437,"2020-05-11 06:02:17","Business Reopening","Rochester, New York","43.154785,-77.615555"
"May 11 morning update: The latest on the coronavirus and Maine - Bangor Daily News",http://healthmap.org/ln.php?7322442,"2020-05-11 07:07:48","Business Reopening",Maine,"45.490898,-69.257896"
"Live updates: White House adviser says it’s ‘scary to go to work’ as coronavirus outbreak fears spread - The Washington Post",http://healthmap.org/ln.php?7322747,"2020-05-11 09:56:03","Business Reopening",Colorado,"38.993500,-105.512703"
"The impact of COVID-19 on Native American communities - Harvard Gazette",http://healthmap.org/ln.php?7323267,"2020-05-08 15:55:49","COVID-19 Case Clusters","United States","39.966930,-97.556099"
"Recap of New Mexico COVID-19 news (5/11/20 edition) - New Mexico Political Report",http://healthmap.org/ln.php?7323270,"2020-05-11 02:01:00","Business Reopening","New Mexico; Las Cruces, New Mexico; Clovis, New Mexico","34.488400,-105.996101; 32.312317,-106.778336; 34.404800,-103.205231"
"New York Faces A Pivotal Week in COVID-19 Fight - Spectrum News",http://healthmap.org/ln.php?7323271,"2020-05-11 06:09:00","Business Reopening","New York State","43.004601,-75.498100"
"What has it been like to care for COVID-19 patients in Anchorage? Two nurses share their experiences. - Anchorage Daily News",http://healthmap.org/ln.php?7323559,"2020-05-09 16:51:20","Healthcare Worker","Anchorage, Alaska","61.218060,-149.900284"
"Parts of New York can reopen as coronavirus rates fall to the level of late March - CNN",http://healthmap.org/ln.php?7323574,"2020-05-11 13:05:48","Business Reopening","New York State","43.004601,-75.498100"
"‘There’s pain everywhere.’ Hospitals stand to lose $1.5 billion amid COVID-19 crisis - The CT Mirror",http://healthmap.org/ln.php?7323699,"2020-05-11 05:01:09","Healthcare Facility",Connecticut,"41.672901,-72.685600"
"Tracking Coronavirus: Florida cases near 41,000 as another 14 deaths are reported by health officials - FOX 35 Orlando",http://healthmap.org/ln.php?7323700,"2020-05-11 08:02:51","Business Reopening",Florida,"28.149500,-81.650398"
"WATCH LIVE: Vermont retailers can reopen May 18 - WCAX",http://healthmap.org/ln.php?7323704,"2020-05-11 11:22:51","Business Reopening",Vermont,"44.040199,-72.751503"
"Coronavirus Updates: Latest COVID-19 Headlines From May 11, 2020 - CBS Minnesota",http://healthmap.org/ln.php?7323709,"2020-05-11 13:24:05","Business Reopening","Wisconsin; Minnesota","44.496498,-90.000000; 46.225399,-94.658302"
"Coronavirus Live Updates: Political Divides Are Driving the Dispute Over State Aid - The New York Times",http://healthmap.org/ln.php?7323935,"2020-05-11 14:59:22","Business Reopening","Louisiana; New York State","31.015200,-92.021500; 43.004601,-75.498100"
"Photos from San Diego hospitals amid COVID-19 pandemic - inewsource",http://healthmap.org/ln.php?7324127,"2020-05-11 09:11:06","Healthcare Facility","San Diego, California","32.713299,-117.158302"
"As States Rush to Reopen, Scientists Fear a Coronavirus Comeback - The New York Times",http://healthmap.org/ln.php?7324134,"2020-05-11 14:19:36","Business Reopening","New York State","43.004601,-75.498100"
"Some Meatpackers Question New COVID-19 Safety Guidelines - NPR",http://healthmap.org/ln.php?7324137,"2020-05-11 15:23:47","COVID-19 Case Clusters","Crete, Nebraska","40.627781,-96.961418"
"Pa. Health Dept. Reports More Than 500 New Coronavirus Cases, Bringing Statewide Total To 57,154 - CBS Pittsburgh",http://healthmap.org/ln.php?7324287,"2020-05-11 12:05:56","Healthcare Facility, Elder Care",Pennsylvania,"40.930099,-77.475601"
"Vermont retailers can reopen May 18 - WCAX",http://healthmap.org/ln.php?7324290,"2020-05-11 13:06:06","Business Reopening",Vermont,"44.040199,-72.751503"
"New York City could begin to ease coronavirus restrictions in June - POLITICO",http://healthmap.org/ln.php?7324299,"2020-05-11 16:54:41","Business Reopening","New York City, New York State","40.713902,-74.003998"
"Minnesota hospitals readying for 'the beast' of COVID-19 - Minneapolis Star Tribune",http://healthmap.org/ln.php?7324444,"2020-05-09 18:05:22","Healthcare Facility",Minnesota,"46.225399,-94.658302"
"Cuomo: Fulton, Montgomery, Schoharie counties set to start COVID-19 reopening; Schenectady, Saratoga close - The Daily Gazette",http://healthmap.org/ln.php?7324449,"2020-05-11 14:34:30","Business Reopening","Montgomery County, New York; Fulton County, New York; Schoharie County, New York","42.883411,-74.416252; 43.116741,-74.449577; 42.588219,-74.442123"
"Coronavirus updates: What we know Monday about COVID-19 in Northern California - Record Searchlight",http://healthmap.org/ln.php?7324461,"2020-05-11 17:18:28","Business Reopening","Shasta County, California","40.766544,-122.034447"
"COVID-19 Cases At Group Homes, Institutions Going Untracked - Disability Scoop",http://healthmap.org/ln.php?7324668,"2020-05-11 01:01:14","Elder Care","United States","39.966930,-97.556099"
"Almost half of Niagara County's Covid-19 deaths are in Newfane Rehab - Buffalo News",http://healthmap.org/ln.php?7324670,"2020-05-11 13:22:48","Elder Care","Niagara County, New York","43.166725,-78.766426"
"US coronavirus death toll passes 80,000 as states move to phased reopening - CNN",http://healthmap.org/ln.php?7324678,"2020-05-11 17:54:58","Business Reopening","United States","39.966930,-97.556099"
"Polis shares May 11 update on Colorado's COVID-19 response - 9News.com KUSA",http://healthmap.org/ln.php?7324789,"2020-05-11 13:15:00","Business Reopening",Colorado,"38.993500,-105.512703"
"Coronavirus infected 36 people at Country Villa Assisted Living in Pulaski as residents struggle amid staff shortages - Green Bay Press Gazette",http://healthmap.org/ln.php?7324793,"2020-05-11 15:44:30","Healthcare Facility, Healthcare Worker, Elder Care, COVID-19 Case Clusters","Pulaski, Wisconsin","44.672218,-88.242599"
"How much Philadelphia-area hospitals are getting in federal money for treating coronavirus patients - The Philadelphia Inquirer",http://healthmap.org/ln.php?7324806,"2020-05-11 19:54:26","Healthcare Facility","Philadelphia, Pennsylvania","39.951801,-75.163002"
"Coronavirus: Free county-sponsored testing returns May 12 and 14 - Citizen Times",http://healthmap.org/ln.php?7324937,"2020-05-11 13:08:49","Mass Testing","North Carolina","35.603699,-78.969803"
"IDPH: 1,266 new cases of COVID-19 - WSIL TV",http://healthmap.org/ln.php?7324941,"2020-05-11 16:26:27","Healthcare Facility, Healthcare Worker, Elder Care, COVID-19 Case Clusters","Manteno, Illinois","41.250591,-87.831429"
"The Atlanta Restaurants and Bars That Have Permanently Closed During the COVID-19 Pandemic - Eater Atlanta",http://healthmap.org/ln.php?7325078,"2020-05-11 16:57:13","Business Closure","Atlanta, Georgia","33.748997,-84.387985"
"All Texas nursing home residents, staff will be tested for COVID-19 - KBTX",http://healthmap.org/ln.php?7325079,"2020-05-11 18:11:54","Healthcare Facility, Healthcare Worker, Elder Care, Mass Testing",Texas,"31.240900,-99.228600"
"COVID-19 cases double in Fayette County; health departments take action - WSAZ-TV",http://healthmap.org/ln.php?7325080,"2020-05-11 18:30:38","Mass Testing","Montgomery, West Virginia","38.180382,-81.328453"
"New York will no longer require nursing homes to take COVID-19 patients from hospitals - NBC News",http://healthmap.org/ln.php?7325309,"2020-05-11 18:41:00","Elder Care","New York State","43.004601,-75.498100"
"How California veterans homes minimized coronavirus impact - Los Angeles Times",http://healthmap.org/ln.php?7325434,"2020-05-11 08:14:37","Elder Care",California,"37.250198,-119.750298"
"Latest on COVID-19 in MN: 13 more deaths; stay-at-home decisions loom - Minnesota Public Radio News",http://healthmap.org/ln.php?7325606,"2020-05-11 06:00:00","Lockdown / Shelter in Place",Minnesota,"46.225399,-94.658302"
"Spokane child care center temporarily closes after coronavirus exposure - KREM.com",http://healthmap.org/ln.php?7325615,"2020-05-11 20:31:00","School Closure","Spokane, Washington","47.658779,-117.426048"
"El Paso City Council extends COVID-19 emergency ordinances through early June - El Paso Times",http://healthmap.org/ln.php?7325853,"2020-05-11 18:59:42","State of Emergency Declaration","El Paso, Texas","31.758720,-106.486931"
"Coronavirus in Washington, D.C.: Capital Moves to Reopen, While City Hesitates - The New York Times",http://healthmap.org/ln.php?7326136,"2020-05-11 22:24:09","Business Reopening","Washington, DC","38.895000,-77.036697"
"A third of Louisiana's COVID-19 deaths are in nursing homes, could they have been prevented? - WWLTV.com",http://healthmap.org/ln.php?7326137,"2020-05-11 22:56:00","Elder Care",Louisiana,"31.015200,-92.021500"
"COVID-19 outbreak reported at Case Farms | News | morganton.com",http://healthmap.org/ln.php?7326478,"2020-05-12 07:10:11","COVID-19 Case Clusters","Morganton, North Carolina","35.745411,-81.684822"
"Tyson linked to 4,500 COVID-19 cases, as meat industry blames workers - Business Insider",http://healthmap.org/ln.php?7326479,"2020-05-12 07:11:29","COVID-19 Case Clusters","United States","39.966930,-97.556099"
"Akron nursing home workers dies from COVID-19, family calls for more nursing home testing",http://healthmap.org/ln.php?7326498,"2020-05-12 07:40:12","Elder Care","Akron, Ohio","41.081444,-81.519005"
"Gov. Abbott orders COVID-19 tests for 100% of nursing home residents and staff in Texas - Houston Chronicle",http://healthmap.org/ln.php?7326499,"2020-05-12 07:42:05","Elder Care",Texas,"31.240900,-99.228600"
"25 Investigates: State’s official COVID-19 death toll at nursing homes may not tell full story inside some facilities",http://healthmap.org/ln.php?7326500,"2020-05-12 07:42:32","Elder Care",Massachusetts,"42.399101,-71.795700"
"At least 8 dead and 85 COVID-19 cases at Dyer nursing home, sources say - Chicago Tribune",http://healthmap.org/ln.php?7326501,"2020-05-12 07:43:21","Elder Care","Dyer, Indiana","41.494202,-87.521713"
"Georgetown nursing home has confirmed COVID-19 cases | KXAN.com",http://healthmap.org/ln.php?7326502,"2020-05-12 07:45:11","Elder Care","Georgetown, Texas","30.632694,-97.677231"
"Trump says he would ‘certainly consider’ mandating states to test all nursing home residents",http://healthmap.org/ln.php?7326503,"2020-05-12 07:46:13","Elder Care","United States","39.966930,-97.556099"
"Mike Pence: Test all nursing home residents, staff",http://healthmap.org/ln.php?7326504,"2020-05-12 07:47:19","Elder Care","United States","39.966930,-97.556099"
"Covid-19: nursing homes account for 'staggering' share of US deaths, data show - The Guardian",http://healthmap.org/ln.php?7326605,"2020-05-11 13:45:42","Elder Care","United States","39.966930,-97.556099"
"Army hospital centers in New York head home as COVID-19 missions wane - ArmyTimes.com",http://healthmap.org/ln.php?7326611,"2020-05-11 20:34:28","Healthcare Facility","New York State","43.004601,-75.498100"
"As COVID-19 tore through Louisiana nursing homes, these were hardest hit - WWLTV.com",http://healthmap.org/ln.php?7326794,"2020-05-11 22:56:00","Elder Care",Louisiana,"31.015200,-92.021500"
"Tesla and Elon Musk reopen California facility, defying orders meant to stem coronavirus spread - CNN",http://healthmap.org/ln.php?7326798,"2020-05-12 07:46:07","Business Reopening",California,"37.250198,-119.750298"
"Coronavirus Updates: Latest COVID-19 Headlines From May 12, 2020 - CBS Minnesota",http://healthmap.org/ln.php?7326799,"2020-05-12 07:51:39","Business Reopening",Minnesota,"46.225399,-94.658302"
"Brunswick group home reports 6 cases of COVID-19 - Portland Press Herald - Press Herald",http://healthmap.org/ln.php?7327287,"2020-05-11 17:08:00","Healthcare Facility","Brunswick, Maine","43.914524,-69.965324"
"COVID-19 roundup: Critically ill Kentucky boy shows virus's danger to kids, Beshear says - Courier Journal",http://healthmap.org/ln.php?7327288,"2020-05-11 19:30:01","Business Closure","Louisville, Kentucky","38.254238,-85.759407"
"Southeast Texas restaurants expanding, renovating during COVID-19 pandemic - 12newsnow.com KBMT-KJAC",http://healthmap.org/ln.php?7327770,"2020-05-11 23:49:00","Business Reopening","Beaumont, Texas","30.086046,-94.101845"
"Florida Turnpike food returns after COVID-19 shutdown - Tampa Bay Times",http://healthmap.org/ln.php?7327771,"2020-05-12 00:38:02","Business Reopening",Florida,"28.149500,-81.650398"
"Bureau of Prisons reports additional COVID-19 cases at Gilmer prison - WV MetroNews - West Virginia MetroNews",http://healthmap.org/ln.php?7327772,"2020-05-12 08:10:00","COVID-19 Case Clusters","Gilmer County, West Virginia","38.933418,-80.849831"
"Coronavirus Roundup: Elon Musk’s Defiant Stand; Western States Ask Feds For $1 Trillion In COVID-19 Aid Funding - CBS San Francisco",http://healthmap.org/ln.php?7327773,"2020-05-12 08:54:34","Business Reopening","San Francisco, California","37.775002,-122.418404"
"COVID-19 fatalities hit 3,000 mark as Connecticut gets ready to reopen - The CT Mirror",http://healthmap.org/ln.php?7327934,"2020-05-11 17:45:00","Business Reopening",Connecticut,"41.672901,-72.685600"
"Restaurant owners worried about future amid coronavirus (COVID-19) pandemic - WDIV ClickOnDetroit",http://healthmap.org/ln.php?7327937,"2020-05-11 23:40:26","Business Closure",Michigan,"43.580299,-84.462898"
"20 COVID-19 Patients Die As Case Total Climbs Past 4000 - LevittownNow.com",http://healthmap.org/ln.php?7328192,"2020-05-12 08:23:28","Elder Care","Bucks County, Pennsylvania","40.500378,-75.374901"
"34 Lincoln County, Mo. jail inmates test positive for coronavirus - KY3",http://healthmap.org/ln.php?7328194,"2020-05-12 10:34:44","COVID-19 Case Clusters","Lincoln County, Missouri","39.066715,-90.966805"
"Coronavirus in Chicago: A running list of restaurants that have closed - Eater Chicago",http://healthmap.org/ln.php?7328198,"2020-05-12 12:05:14","Business Closure","Chicago, Illinois","41.849998,-87.650101"
"Henry Ford Health: 1,920 coronavirus (COVID-19) patients discharged in last 60 days - WDIV ClickOnDetroit",http://healthmap.org/ln.php?7328429,"2020-05-12 11:34:02","Healthcare Facility",Michigan,"43.580299,-84.462898"
"Steak 'n Shake to permanently close 57 locations amid coronavirus pandemic - KPTV.com",http://healthmap.org/ln.php?7328430,"2020-05-12 11:50:00","Business Closure",Oklahoma,"35.496399,-97.514702"
"Woodbury County reports 4 deaths, 314 new COVID-19 cases - Sioux City Journal",http://healthmap.org/ln.php?7328433,"2020-05-12 12:30:00","COVID-19 Case Clusters","Woodbury County, Iowa","42.383320,-96.033630"
"Ventilator usage continues to drop despite uptick in COVID-19 hospitalizations - WWLTV.com",http://healthmap.org/ln.php?7328435,"2020-05-12 13:10:00","Healthcare Facility",Louisiana,"31.015200,-92.021500"
"2 more coronavirus deaths reported at Norlite center | News, Sports, Jobs - Marquette Mining Journal",http://healthmap.org/ln.php?7328542,"2020-05-12 10:56:02","Healthcare Facility, Elder Care","Marquette, Michigan","46.662949,-87.573502"
"California man with 1% chance of survival released from hospital after two-month COVID-19 battle - USA TODAY",http://healthmap.org/ln.php?7328543,"2020-05-12 11:37:10","Healthcare Facility",California,"37.250198,-119.750298"
"Internal Federal Documents Warn Georgia Hospital Capacity Not Up For A Surge : Shots - Health News - NPR",http://healthmap.org/ln.php?7328559,"2020-05-12 16:56:46","Healthcare Facility",Georgia,"32.731800,-83.496101"
"Mobile COVID-19 testing sites available to Chambers County, Bolivar Peninsula residents Tuesday - 12newsnow.com KBMT-KJAC",http://healthmap.org/ln.php?7328667,"2020-05-12 08:23:00","Mass Testing","Bolivar Peninsula, Texas; Chambers County, Texas","29.436621,-94.690193; 29.771200,-94.661636"
"Door-to-door COVID-19 testing in Corvallis begins with encouraging results - KGW.com",http://healthmap.org/ln.php?7328671,"2020-05-12 11:54:00","Mass Testing","Corvallis, Oregon","44.564571,-123.262039"
"At Trane factory in Hamilton, workers fear spread of COVID-19 and demand action - Planet Princeton",http://healthmap.org/ln.php?7328907,"2020-05-12 15:05:58","COVID-19 Case Clusters","Hamilton, New Jersey","40.207062,-74.081253"
"Judge demands WA psychiatric hospital reopen despite COVID-19 - Crosscut",http://healthmap.org/ln.php?7329048,"2020-05-12 08:02:30","Healthcare Facility, Healthcare Worker","Western State Hospital, Washington","47.178391,-122.565948"
"LIVE UPDATES: Coronavirus in the Mid-South: Gov. Lee working with TN’s major cities to provide additional test - FOX13 Memphis",http://healthmap.org/ln.php?7329052,"2020-05-12 11:10:30","Healthcare Worker, Elder Care","Olive Branch, Mississippi","34.961761,-89.829529"
"Coronavirus In Pennsylvania: Attorney General Opens Criminal Investigation Into Nursing Homes - CBS Pittsburgh",http://healthmap.org/ln.php?7329058,"2020-05-12 15:48:21","Elder Care, COVID-19 Case Clusters",Pennsylvania,"40.930099,-77.475601"
"Los Angeles County is telling people they may need to stay home until August - CNN",http://healthmap.org/ln.php?7329066,"2020-05-12 19:25:21","Lockdown / Shelter in Place","Los Angeles County, California","34.366665,-118.200905"
"Coronavirus Will Keep Cal State Classes Online in the Fall - The New York Times",http://healthmap.org/ln.php?7329182,"2020-05-12 18:52:00","School Closure",California,"37.250198,-119.750298"
"Pa. health officials say nursing homes with COVID-19 cases should test all residents, staff - The Philadelphia Inquirer",http://healthmap.org/ln.php?7329185,"2020-05-12 20:44:55","Elder Care",Pennsylvania,"40.930099,-77.475601"
"COVID-19 confirmed in Elgin nursing home - KXAN.com",http://healthmap.org/ln.php?7329328,"2020-05-12 18:08:00","Healthcare Worker, Elder Care","Elgin, Texas","30.349649,-97.370270"
"Coronavirus In Minnesota: Gov. Walz Expected To Announce Extension On Emergency Order - CBS Minnesota",http://healthmap.org/ln.php?7329329,"2020-05-12 18:11:20","State of Emergency Declaration, Lockdown / Shelter in Place",Minnesota,"46.225399,-94.658302"
"City Cafe will close permanently due to coronavirus pandemic - Baltimore Business Journal",http://healthmap.org/ln.php?7329333,"2020-05-12 19:07:00","Business Closure","Mount Vernon, Maryland","38.245399,-75.821602"
"Coronavirus Florida: Hospitals join COVID-19 plasma treatment study, seek donations - Palm Beach Post",http://healthmap.org/ln.php?7329519,"2020-05-12 15:59:47","Healthcare Facility",Florida,"28.149500,-81.650398"
"Pa. nursing homes with COVID-19 cases should test all residents and staff, health officials say - The Philadelphia Inquirer",http://healthmap.org/ln.php?7329527,"2020-05-12 22:30:12","Elder Care",Pennsylvania,"40.930099,-77.475601"
"Answering Your Coronavirus Questions: Nursing Homes, Death Toll And Summer Travel - NPR",http://healthmap.org/ln.php?7329831,"2020-05-12 20:50:00","Elder Care","United States","39.966930,-97.556099"
"Los Angeles mayor says while stay-at-home order stays, 'do not freak out' about it - CNN",http://healthmap.org/ln.php?7329833,"2020-05-12 21:45:55","Lockdown / Shelter in Place","Los Angeles County, California","34.366665,-118.200905"
"Cashing in on the COVID Crisis: Scores of nursing home patients evicted - KRQE News 13",http://healthmap.org/ln.php?7329834,"2020-05-13 00:09:00","Elder Care","Albuquerque, New Mexico","35.084492,-106.651138"
"Coronavirus concerns keep heart patients from hospital: 'I was so scared' - CNN",http://healthmap.org/ln.php?7329918,"2020-05-12 23:24:58","Healthcare Facility","United States","39.966930,-97.556099"
"Latest on COVID-19 in MN: Another stay-home deadline looms - Minnesota Public Radio News",http://healthmap.org/ln.php?7330064,"2020-05-12 06:30:00","Lockdown / Shelter in Place",Minnesota,"46.225399,-94.658302"
"7 cases of COVID-19 reported at Maruchan ramen noodle factory in Virginia - WFLA",http://healthmap.org/ln.php?7330068,"2020-05-12 21:10:00","COVID-19 Case Clusters","Chesterfield, Virginia","37.377094,-77.505821"
"Tuesday's coronavirus updates | Woman in her 40s is seventh Champaign County resident to die of COVID-19 - Champaign/Urbana News-Gazette",http://healthmap.org/ln.php?7330233,"2020-05-12 17:53:00","COVID-19 Case Clusters","Rantoul, Illinois","40.308369,-88.155884"
"Coronavirus In MN: Fitness Centers Prepare For Reopening In Post-COVID-19 Landscape - CBS Minnesota",http://healthmap.org/ln.php?7330238,"2020-05-13 00:37:22","Business Reopening",Minnesota,"46.225399,-94.658302"
"Corpus Christi COVID-19 cases spike - Corpus Christi Business News",http://healthmap.org/ln.php?7330396,"2020-05-12 16:10:34","Elder Care, COVID-19 Case Clusters","Corpus Christi, Texas","27.800583,-97.396378"
"Pressure on Walz grows as COVID-19 orders set to expire - Minnesota Public Radio News",http://healthmap.org/ln.php?7330896,"2020-05-13 05:00:00","Lockdown / Shelter in Place",Minnesota,"46.225399,-94.658302"
"Coronavirus live updates: Fauci's detractors include Rand Paul, Fox News; Disney expected to require masks on guests - USA TODAY",http://healthmap.org/ln.php?7331036,"2020-05-13 08:23:16","Business Reopening","United States","39.966930,-97.556099"
"Texas begins to reopen after Covid-19 quarantine – but political controversy and health risks await - The Guardian",http://healthmap.org/ln.php?7331200,"2020-05-13 04:44:14","Business Reopening",Texas,"31.240900,-99.228600"
"US nursing homes seek legal immunity as Covid-19 spreads ‘like brushfire’ - The Guardian",http://healthmap.org/ln.php?7331201,"2020-05-13 06:48:45","Elder Care","United States","39.966930,-97.556099"
"Sen. Braun On COVID-19 Concerns And Whether Indiana Reopen Too Soon - NPR",http://healthmap.org/ln.php?7331202,"2020-05-13 07:53:00","Business Reopening",Indiana,"40.010700,-86.264702"
"Texas prisons to begin widespread coronavirus testing for inmates - The Texas Tribune",http://healthmap.org/ln.php?7331760,"2020-05-12 16:13:57","Mass Testing",Texas,"31.240900,-99.228600"
"Women’s prison in Florida becomes COVID-19 nightmare - Tampa Bay Times",http://healthmap.org/ln.php?7332064,"2020-05-12 08:41:41","COVID-19 Case Clusters","Homestead Correctional Institute, Homestead, Florida","25.413214,-80.498322"
"High school senior: The biggest lesson Covid-19 has taught me - CNN",http://healthmap.org/ln.php?7332075,"2020-05-13 11:43:03","School Closure","New York State","43.004601,-75.498100"
"Houston a bright spot amid spiking Texas COVID-19 numbers - Houston Chronicle",http://healthmap.org/ln.php?7332202,"2020-05-13 08:10:00","Elder Care",Texas,"31.240900,-99.228600"
"What Utah officials say is going into decisions about reopening economy - Deseret News",http://healthmap.org/ln.php?7332204,"2020-05-13 10:01:16","Business Reopening",Utah,"39.266201,-111.752998"
"Navajo Nation extends coronavirus state of emergency to June 7",http://healthmap.org/ln.php?7332263,"2020-05-13 08:16:39","State of Emergency Declaration, Lockdown / Shelter in Place","Navajo Nation Reservation, Arizona","35.624722,-111.250977"
"Annapolis City Council extends coronavirus state of emergency into June - Capital Gazette",http://healthmap.org/ln.php?7332265,"2020-05-11 22:27:25","State of Emergency Declaration","Annapolis, Maryland","38.978443,-76.492180"
"Order extends state of emergency declaration, adds additional measures to help stop COVID-19 spread | WATE 6 On Your Side",http://healthmap.org/ln.php?7332273,"2020-05-12 18:51:10","State of Emergency Declaration",Tennessee,"35.746498,-86.264702"
"Bay County further extends local state of emergency until May 29 - mlive.com",http://healthmap.org/ln.php?7332293,"2020-05-12 14:37:58","State of Emergency Declaration","Bay County, Michigan","43.733356,-84.016647"
"Surfside Beach leaders extend state of emergency | Covid-19 Coverage | myhorrynews.com",http://healthmap.org/ln.php?7332321,"2020-05-12 14:50:52","State of Emergency Declaration","Surfside Beach, South Carolina","33.605999,-78.973091"
